domain_entity,canonical_field,display_label_zh,source_table,source_column,java_source,api_or_ui_source,example_value,semantic_status,notes
Sample,profileSample,Profile 文件样本名,meta2db_sample_metadata,profile_sample,mico_database_new/src/main/resources/mapper/PatientMapper.xml:215-219,PatientMapper.xml:8-13,SRR1518476_Study_of_microbial_diversity_from_samples_derived_from_throat_swabs_of_schizophrenia_patients_hum_removed_nt_mhl15,remote_live_verified,远程样例值；完整值可含研究描述后缀
Sample,studyKey,所属项目,meta2db_sample_metadata,project_name,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:11-12,mico_database_new/src/main/resources/templates/patient_results.html:123,2015_Castro-NallarE,remote_live_verified,远程样例值；Sample 与 Study 的关联字段
Sample,sampleGroup,样本组/来源标签,meta2db_sample_metadata,health_disease_status,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:13;mico_database_new/src/main/resources/mapper/PatientMapper.xml:20,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:47-67,control,remote_live_verified,远程样例值；不得解释为正式疾病或诊断；patients.Group 仍为另一来源字段
Sample,bodySite,采样部位,patients,body_site,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:18;mico_database_new/src/main/resources/mapper/PatientMapper.xml:25,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:47-67,feces,confirmed_by_code,候选来源还包括 Meta2DB body_product/body_site_detail
Sample,sequencingPlatform,测序方法,patients,sequencing_platform,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:19;mico_database_new/src/main/resources/mapper/PatientMapper.xml:26,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:47-67,Illumina HiSeq,confirmed_by_code,源字段同步关系待核验
Sample,internalRecordRelation,Sample 与内部记录的实测关系,meta2db_sample_metadata,patient_id,mico_database_new/src/main/resources/mapper/PatientMapper.xml:38-43;mico_database_new/src/main/java/com/database/mico_database/service/PatientService.java:77-108,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:95-146,13897 个 Meta2DB 行=13897 个不同 patient_id,remote_live_verified,"13,897 个 distinct patient_id 全部在 patients 命中且孤儿数为 0；仅限当前 Meta2DB 子集，不能外推为全部 Sample 与 InternalRecord 的领域基数"
TaxonomicProfile,profileKey,物种丰度谱键,derived,sampleKey+taxonomyVersion+featureVersion+sourceBatch,待核验,待核验,待核验,contract_only,需在 P1 快照 API 固化
TaxonomicProfile,sampleId,谱对应来源样本键,microbe_abundance_standard,sample_id,mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:9-15;mico_database_new/src/main/resources/mapper/PatientMapper.xml:52-64;68-82;90-101;107-119,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:95-146,2015_Castro-NallarE|SRR1518476_Study_of_microbial_diversity_from_samples_derived_from_throat_swabs_of_schizophrenia_patients_hum_removed_nt_mhl15,remote_live_verified,"与 Meta2DB sample_id 为同一物理命名空间：13,897/13,897 Meta2DB 样本可精确匹配且 patient_id 一致；两列默认字符集不同，查询必须显式处理 collation"
TaxonomicProfile,microbeNameStandard,标准物种名,microbe_abundance_standard,microbe_name_standard,mico_database_new/src/main/resources/mapper/PatientMapper.xml:56-60;72-76;92-96,mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:20-24,k__bacteria...s__pseudomonas_aeruginosa,confirmed_by_code_and_local_source,不是病原体断言
TaxonomicProfile,microbeNameHash,物种名内部 hash,microbe_abundance_standard,microbe_name_hash,mico_database_new/src/main/resources/mapper/DashboardMapper.xml:118-121,待核验,md5...,remote_live_verified,"远程列和索引已由 SHOW CREATE/SHOW INDEX 确认；远程 DISTINCT hash=40,266；用于计数，不代表业务唯一特征"
TaxonomicProfile,abundanceValue,丰度值,microbe_abundance_standard,abundance_value,mico_database_new/src/main/resources/mapper/PatientMapper.xml:57-60;74-77;94-97,mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:24-28,9.20200235571e-06,confirmed_by_code_and_local_source,必须结合 abundanceUnit
TaxonomicProfile,abundanceUnit,丰度单位,microbe_abundance_standard,abundance_unit,mico_database_new/src/main/resources/mapper/PatientMapper.xml:58;75;95,mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:29-32,relative_abundance,remote_live_verified,远程样例为 relative_abundance；NULL 计数=0
TaxonomicProfile,normalizationMethod,标准化方法,microbe_abundance_standard,normalization_method,mico_database_new/src/main/resources/mapper/PatientMapper.xml:58;75;95,mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:33-36,per_sample_species_count,remote_live_verified,远程样例为 per_sample_species_count；全表 NULL/空值计数=0
TaxonomicProfile,featureVersion,特征版本,microbe_abundance_standard,feature_version,待核验,待核验,v1,remote_live_verified,SHOW CREATE 确认 NOT NULL DEFAULT v1；样例 patient_id=18423 仅见 v1；当前 Java DTO 未返回
TaxonomicProfile,sourceBatch,导入批次,microbe_abundance_standard,source_batch,待核验,待核验,meta2db-species-20260726:2015_Castro-NallarE,remote_live_verified,样例远程值；全表批次分布仍应由 P1 快照接口返回；当前 Java DTO 未返回
TaxonomicProfile,taxonomyVersion,taxonomy 版本,derived,source_taxonomy_rank/导入版本,待核验,待核验,species,local_snapshot_only,不能由单一 rank 值替代完整版本
TaxonomicProfile,featureCount,已存丰度行数,derived,COUNT(*) by patient_id+sample_id,mico_database_new/src/main/java/com/database/mico_database/service/PatientService.java:77-89;100-106,mico_database_new/src/main/resources/templates/patient_results.html:136;387,394,remote_live_verified,只能称精确条件下的已存储丰度行数；样例为 patient_id=18423/sample_id 对应 394 行，394 个 hash/名称且无重复 hash+feature_version 组；未验证全表唯一性和跨版本规则前不得称完整特征数
TaxonomicProfile,sampleDate,采样/记录日期,microbe_abundance_standard,sample_date,mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:16-19,mico_database_new/src/main/java/com/database/mico_database/service/PatientService.java:84;104,待核验,待核验,导入脚本可置 NULL；不可伪造采样日期
DiseaseAssertion,rawLabel,原始疾病标签,patients,disease,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:20-24;mico_database_new/src/main/resources/mapper/PatientMapper.xml:27,mico_database_new/src/main/java/com/database/mico_database/service/PatientService.java:385-402;mico_database_new/src/main/resources/templates/patient_results.html:165-166,"diarrhea;gastrointestinal infection",confirmed_by_code_and_local_source,原始值必须可追溯
DiseaseAssertion,rawLabel,Meta2DB 原始类别,meta2db_sample_metadata,disease_category,待核验,待核验,neurological,remote_live_verified,"远程 11,811/13,897 行非空，和 raw_metadata 覆盖一致；本次样例为 neurological；完整标签分类仍需人工审核"
DiseaseAssertion,rawLabel,详细疾病字段,meta2db_sample_metadata,raw_metadata.*_disord,待核验,待核验,ulcerative colitis,local_snapshot_only,可能多值/粗粒度/症状/病原体
DiseaseAssertion,canonicalDiseaseId,标准疾病 ID,derived,审核映射资产,待核验,待核验,待核验,contract_only,本阶段不创建或写入
DiseaseAssertion,canonicalNameZh,标准疾病中文名,derived,审核映射资产,待核验,待核验,待核验,contract_only,未审核不可展示为正式疾病
DiseaseAssertion,mappingStatus,映射状态,derived,审核映射资产,待核验,待核验,unmapped,contract_only,建议包含 non_disease/control/ambiguous
DiseaseAssertion,mappingConfidence,映射置信度,derived,审核映射资产,待核验,待核验,待核验,contract_only,不是临床概率
DiseaseAssertion,mappingVersion,映射版本,derived,审核映射资产,待核验,待核验,v1,contract_only,未实际创建
DiseaseAssertion,sourceEvidence,来源证据,derived,source field+record+batch,待核验,待核验,meta2db_metadata.csv:run_acc,contract_only,必须含原始字段和批次
DiseaseAssertion,reviewedBy,审核人,derived,review record,待核验,待核验,待核验,contract_only,未审核为 NULL
DiseaseAssertion,reviewedAt,审核时间,derived,review record,待核验,待核验,待核验,contract_only,未审核为 NULL
InternalRecord,patientId,内部记录 ID,patients,patient_id,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:7;mico_database_new/src/main/resources/mapper/PatientMapper.xml:16;38-43,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:35-91,mico_database_new/src/main/resources/templates/patient_results.html:75;85;121,confirmed_by_code_not_subject,禁止自动改称真实患者 ID
InternalRecord,patientName,当前源名称/样本标识,patients,patient_name,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:8;17;mico_database_new/src/main/resources/mapper/PatientMapper.xml:17;39;234,mico_database_new/src/main/resources/templates/patient_results.html:87;119,待核验,high_risk_alias,当前 import 约定使其可能与复合 sample_id 对齐
DataSnapshot,dataSnapshotId,数据快照 ID,derived,immutable snapshot metadata,待核验,待核验,snap_...,contract_only,P1 工具响应必须返回
DataSnapshot,dataSource,数据源,derived,source descriptor,待核验,待核验,java-business-api,contract_only,不得写连接串
DataSnapshot,importBatch,导入批次,derived,source_batch,待核验,待核验,meta2db-species-20260726,contract_only,来源批次而非生成时间
DataSnapshot,diseaseMappingVersion,疾病映射版本,derived,mapping asset version,待核验,待核验,none,contract_only,未映射时为 none
DataSnapshot,taxonomyVersion,taxonomy 版本,derived,taxonomy asset version,待核验,待核验,species-v1,contract_only,与谱绑定
DataSnapshot,cohortCondition,队列条件,derived,structured filter,待核验,待核验,"{""disease"":""T2D""}",contract_only,必须可重放
DataSnapshot,queryHash,查询哈希,derived,canonical query parameters,待核验,待核验,sha256:...,contract_only,脱敏后计算
DataSnapshot,rowCount,行数,derived,scope-specific count,待核验,待核验,132,contract_only,必须标注行的实体类型
DataSnapshot,generatedAt,生成时间,derived,ISO-8601 timestamp,待核验,待核验,2026-08-20T00:00:00+08:00,contract_only,必须含时区
